E_HE1,E_LI1,E_C1,E_C2,E_C3,E_N2,E_N3,E_O1,E_O2,E_NE1,E_NE2,E_NA1,E_MG1,E_MG2,E_AL1,E_AL2,E_AL3,E_SI1,E_SI2,E_SI3,E_SI4,E_S1,E_S2,E_S3,E_CA1,E_CA2,E_SC1,E_SC2,E_TI1,E_TI2,E_V1,E_V2,E_CR1,E_CR2,E_MN1,E_FE1,E_FE2,E_FE3,E_CO1,E_NI1,E_CU1,E_ZN1,E_SR1,E_Y1,E_Y2,E_ZR1,E_ZR2,E_NB1,E_MO1,E_RU1,E_BA2,E_LA2,E_CE2,E_PR2,E_ND2,E_SM2,E_EU2,E_GD2,E_DY2,E_VEIL,E_FEH
,,0.04,,,,,0.16,,,,0.3,0.23,,0.14,,,0.17,0.21,,,,,,0.7,0.1,0.12,0.32,0.19,0.2,0.15,,0.38,0.34,0.26,0.16,0.17,,0.16,0.3,0.18,0.31,,,0.21,0.19,0.11,,,,0.73,0.05,0.04,,0.18,,0.17,,,,0.11578474
,0.05,0.08,,,,,0.15,,,,0.25,0.21,,0.14,,,0.19,0.16,,,,,,0.62,,0.14,0.25,0.2,0.2,0.16,,0.35,0.42,0.3,0.17,0.11,,0.2,0.3,0.3,0.27,,,0.17,0.16,0.13,,,,0.66,0.07,0.04,,0.29,,0.16,,,,0.1131379
,0.05,0.06,,,,,0.17,,,,0.26,0.22,,0.21,,,0.17,0.19,,,,,,0.68,0.23,0.16,0.3,0.16,0.19,0.16,,0.36,0.3,0.25,0.16,0.14,,0.17,0.34,0.18,0.29,,,0.21,0.17,0.12,,,,0.66,0.08,0.05,,0.2,,0.12,,,,0.11526815
,,0.15,,,,,0.1,,,,0.26,0.21,,0.15,,,0.15,0.17,,,,,,0.62,0.24,0.13,0.27,0.21,0.19,0.16,,0.35,0.27,0.21,0.16,0.17,,0.17,0.33,0.2,0.3,,,0.22,0.25,0.09,,,,0.65,0.08,0.02,,0.24,,0.02,,,,0.11624475
,0.05,0.12,,,,,,,,,0.16,0.21,,0.15,,,0.19,0.2,,,0.16,,,0.4,0.05,,0.21,0.25,0.19,0.33,,0.33,0.25,0.19,0.17,0.17,,0.24,0.23,0.21,0.21,,,0.26,,,,,,0.32,,,,0.17,,,,,,0.06389934
,,0.61,,,,,0.22,,,,0.08,0.06,,0.05,,,0.19,0.53,,,0.35,,,0.19,,0.09,0.15,0.15,0.19,0.13,,0.24,0.28,0.12,0.13,0.14,,0.1,0.19,0.25,0.12,,,0.14,0.19,0.23,,,,0.04,0.1,0.01,,0.16,,0.06,,,,0.08604858
,,,,,,,,,,,0.09,0.09,,0.07,,,0.08,0.64,,,,,,0.01,,0.11,0.14,0.17,0.17,0.14,,0.24,0.02,0.14,0.15,0.18,,0.12,0.17,0.26,0.43,,,0.2,0.09,0.27,,,,,0.11,,,0.18,,0.62,,,,0.11550632
,,,,,,,,,,,0.43,0.04,,0.01,,,0.16,,,,,,,0.28,,0.1,0.08,0.15,0.17,0.21,,0.21,0.51,0.2,0.17,0.18,,0.17,0.25,0.04,0.49,,,0.23,0.18,0.14,,,,,0.14,,,0.13,,0.7,,,,0.14469013
,0.06,0.02,,,,,0.01,,,,0.04,0.02,,0.05,,,0.06,0.02,,,,,,0.02,,0.01,0.0,0.05,0.13,0.04,,0.01,0.14,0.05,0.01,0.04,,0.01,0.04,0.07,0.22,,,0.04,0.03,0.08,,0.0,,0.13,0.0,0.0,,0.06,,0.0,,,,0.057199374
,,,,,,,0.41,,,,,,,,,,0.13,,,,,,,,,,,0.08,0.13,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,0.0
,0.2656051,0.05,,,,,,,,,0.17,0.02,,0.01,,,0.04,0.19,,,,,,0.05,0.07,0.14,0.21,0.11,0.07,0.03,,0.16,0.17,0.11,0.0,0.0,,0.04,0.06,0.2,0.09,,,0.0,0.01,0.1,,,,0.0,0.0,,,0.22,,,,,,0.028264286
,0.36183864,,,,,,0.45,,,,0.15,0.22,,0.19,,,0.46,,,,,,,0.25,,0.37,0.28,0.27,0.15,0.16,,0.35,0.34,,,,,0.3,0.37,0.29,,,,,,,,,,0.26,,,,0.3,,,,,,0.0
,0.44303352,0.09,,,,,,,,,0.14,0.21,,0.05,,,0.06,,,,,,,0.06,,0.05,0.08,0.14,0.04,0.06,,0.14,0.29,0.22,0.0,0.0,,0.01,0.07,0.09,0.21,,,0.0,0.0,,,0.0,,0.23,0.0,,,0.29,,,,,,0.060027603
,,0.06,,,,,0.01,,,,0.11,0.06,,0.04,,,0.08,0.22,,,0.09,,,0.11,0.04,,0.11,0.11,0.08,0.16,,0.1,0.1,0.16,0.08,0.1,,0.11,0.09,0.14,0.04,,,0.09,,0.1,,,,0.12,0.0,,,0.18,,0.04,,,,0.06521508
,0.05,0.07,,,,,0.09,,,,0.1,0.06,,0.05,,,0.1,0.09,,,0.09,,,0.09,0.05,,0.09,0.12,0.08,0.19,,0.11,0.07,0.11,0.08,0.09,,0.11,0.1,0.1,0.04,,,0.1,,,,,,0.13,0.0,,,0.28,,0.04,,,,0.06450222
,0.05,0.05,,,,,0.09,,,,0.08,0.1,,0.04,,,0.08,0.08,,,0.09,,,0.08,0.06,,0.08,0.1,0.09,0.18,,0.1,0.07,0.05,0.07,0.08,,0.09,0.09,0.12,0.02,,,0.1,,,,,,0.12,0.0,,,0.2,,,,,,0.06511025
,0.3,0.03,,,,,0.02,,,,0.06,0.07,,0.06,,,0.05,0.04,,,,,,0.06,0.07,0.06,0.11,0.07,0.06,0.07,,0.07,0.06,0.07,0.06,0.09,,0.08,0.06,0.04,0.06,,,0.07,,0.01,,,,0.08,0.0,0.08,,0.08,,0.05,,,,0.06523534
,0.06,0.02,,,,,0.1,,,,0.06,0.1,,0.04,,,0.08,0.05,,,,,,0.06,0.1,0.06,0.07,0.09,0.06,0.1,,0.08,0.12,0.06,0.06,0.08,,0.08,0.06,0.06,0.02,,,0.08,,,,,,0.05,0.0,,,0.08,,0.05,,,,0.064535946
,0.07,0.06,,,,,0.02,,,,0.11,0.05,,0.04,,,0.06,0.06,,,0.09,,,0.09,0.05,0.09,0.12,0.12,0.08,0.15,,0.1,0.07,0.08,0.08,0.08,,0.1,0.09,0.07,0.06,,,0.11,,0.1,,,,0.1,0.0,,,0.16,,0.04,,,,0.06531164
,0.05,0.05,,,,,0.09,,,,0.09,0.08,,0.04,,,0.08,0.07,,,0.09,,,0.07,0.05,,0.09,0.1,0.09,0.19,,0.1,0.07,0.06,0.07,0.08,,0.11,0.08,0.09,0.02,,,0.09,,,,,,0.11,0.0,,,0.24,,0.04,,,,0.06400759
