E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.01,0.02,0.02,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0076300525
0.04,0.01,0.03,0.03,0.0,0.0,0.05,0.06,0.01,0.0,0.0,0.02,0.01,0.03,0.0,0.0032040887
0.01,0.04,0.05,0.01,0.01,0.0,0.06,0.01,0.01,0.0,0.03,0.02,0.01,0.03,0.0,0.012535147
0.01,0.03,0.05,0.02,0.04,0.0,0.01,0.06,0.0,0.0,0.01,0.02,0.05,0.01,0.0,0.010920097
0.0,0.01,0.04,0.01,0.04,0.0,0.01,0.08,0.03,0.0,0.01,0.0,0.03,0.01,0.0,0.010549023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.03,0.05,0.05,0.04,0.0,0.08,0.03,0.0,0.0,0.02,0.07,0.07,0.01,0.0,0.038808946
0.02,0.0,0.02,0.01,0.01,0.0,0.08,0.05,0.01,0.0,0.02,0.01,0.04,0.01,0.0,0.028391961
0.01,0.03,0.01,0.01,0.06,0.0,0.03,0.01,0.02,0.0,0.0,0.0,0.04,0.02,0.0,0.0039879577
0.03,0.04,0.01,0.0,,0.02,0.02,0.11,0.03,0.0,0.02,0.05,0.06,0.0,0.0,0.032673128
0.02,0.01,0.02,0.0,0.03,0.0,0.06,0.04,0.02,0.0,0.01,0.02,0.02,0.0,0.0,0.052387234000000005
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.0,0.01,0.03,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.019108089
0.03,0.04,0.02,0.01,0.02,0.0,0.08,0.04,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.021210246
0.05,0.01,0.02,0.05,0.04,0.0,0.07,0.05,0.01,0.0,0.0,0.01,0.03,0.03,0.0,0.035014212
0.01,0.01,0.02,0.04,0.05,0.0,0.05,0.08,0.08,0.0,0.01,0.03,0.09,0.01,0.0,0.041888405
0.0,0.01,0.02,0.01,0.01,0.06,0.01,0.03,0.03,,0.02,0.03,0.06,0.01,0.0,0.010278731
0.03,0.01,0.13,0.02,,0.06,0.05,0.0,0.03,0.0,0.02,0.03,0.01,0.02,0.0,0.021483589
,,,,,,,,,,,,,,,0.0
0.0,0.0,0.01,0.01,0.01,0.0,0.07,0.03,0.02,0.0,0.01,0.07,0.03,0.04,0.0,0.0033835317
0.02,0.01,0.0,0.02,0.04,0.0,0.07,0.02,0.02,0.0,0.01,0.0,0.04,0.01,0.0,0.011860113
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.13763142
0.01,0.01,0.05,0.01,0.0,0.0,0.08,0.04,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.019108055
0.01,0.03,0.01,0.04,0.03,0.0,0.07,0.06,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.008867666
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.02,0.0,0.0,0.04,0.0,0.02,0.06,0.01,0.0,0.01,0.01,0.03,0.01,0.0,0.0016821052
,,,,,,,,,,,,,,,0.0
0.04,0.03,0.01,0.03,0.01,0.0,0.07,0.05,0.02,0.0,0.01,0.0,0.04,0.01,0.0,0.039668202
,,,,,,,,,,,,,,,0.033868342999999995
0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.24091877
0.03,0.03,0.03,0.01,0.01,0.0,0.07,0.03,0.0,0.0,0.01,0.07,0.01,0.01,0.0,0.014098471
0.01,0.0,0.02,0.03,0.01,0.0,0.07,0.07,0.01,0.0,0.03,0.01,0.08,0.0,0.0,0.004359827
0.03,0.02,0.05,0.02,0.06,0.0,0.01,0.04,0.03,0.0,0.0,0.02,0.05,0.02,0.0,0.0094784945
0.05,0.03,0.0,0.04,0.03,0.0,0.06,0.03,0.0,0.0,0.02,0.02,0.05,0.03,0.0,0.035416964
0.03,0.02,0.01,0.01,0.02,0.0,0.03,0.0,0.02,0.0,0.03,0.02,0.01,0.0,0.0,0.010752423999999998
,0.02,0.01,,,,0.1,0.01,,,0.0,0.0,0.19,,0.0,0.0
0.01,,0.01,0.03,0.04,0.0,0.07,0.02,0.05,0.0,0.0,0.0,0.04,0.03,0.0,0.027558664
,,,,0.0,0.03,,,,,0.0,0.0,0.11,,0.0,0.13897394
0.02,0.03,0.0,0.0,0.0,0.06,0.03,0.03,0.02,0.0,0.06,0.04,0.01,0.03,0.0,0.041222233
0.01,0.0,0.05,0.04,0.04,0.0,0.03,0.06,0.03,0.0,0.02,0.01,0.03,0.01,0.0,0.02597338
0.01,0.01,0.03,0.0,0.02,0.0,0.1,0.04,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.022767318
0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.02,0.01,0.02,0.03,0.0,0.006792339499999999
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.02,0.05,0.0,0.0,0.08,0.04,0.04,0.0,0.0,0.02,0.01,0.0,0.0,0.01256849
,,,,,,,,,,,,,,,0.0
0.05,0.01,0.06,0.09,0.06,0.0,0.07,0.06,0.02,0.0,0.03,0.04,0.09,0.03,0.0,0.0089654615
0.03,0.02,0.01,0.01,0.01,0.0,0.03,0.04,0.03,0.0,0.03,0.04,0.02,0.03,0.0,0.0047081886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0.03,0.05,0.02,0.02,0.02,0.0,0.02,0.04,0.0,0.0,0.02,0.03,0.04,0.02,0.0,0.013189586
0.06,0.0,0.04,0.01,0.01,0.02,0.01,0.02,0.03,0.0,0.04,0.02,0.04,0.0,0.0,0.018373394
0.06,0.01,0.04,0.01,0.01,0.0,0.02,0.04,0.01,0.0,0.0,0.05,0.06,0.01,0.0,0.043348473
0.03,0.04,0.05,0.0,0.04,0.04,0.1,0.04,0.0,0.0,0.02,0.03,0.0,0.01,0.0,0.035961792
,,,,,,,,,,,,,,,0.0
0.0,0.01,0.01,0.01,0.01,0.0,0.07,0.04,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.024781719
0.01,0.0,0.01,0.01,0.0,0.01,0.07,0.01,0.05,0.0,0.02,0.04,0.08,0.01,0.0,0.026210876
0.03,0.01,0.02,0.01,0.03,0.0,0.07,0.01,0.01,0.0,0.0,0.02,0.01,0.03,0.0,0.024241233
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,0.2,0.05,,,,0.0
0.0,0.01,0.01,0.01,0.3,0.07,0.02,0.08,0.01,0.0,0.05,0.02,0.01,0.01,0.2,0.026446663
0.05,0.03,0.0,0.01,0.05,0.0,0.04,0.08,0.02,0.14,0.01,0.01,0.07,0.0,0.01,0.014228281
0.11,0.01,,0.05,0.53,0.17,0.19,0.14,0.15,0.17,0.17,0.16,0.15,0.21,0.24,0.0
0.03,0.03,0.01,0.0,0.01,0.0,0.04,0.02,0.01,0.0,0.0,0.06,0.0,0.01,0.08,0.034227762
,,,,,,,,,,0.19,0.08,,,,0.0
0.0,0.05,0.02,0.02,0.02,0.0,0.07,0.04,0.02,0.0,0.01,0.01,0.07,0.0,0.01,0.01117631
0.02,0.02,0.02,0.0,0.08,0.0,0.08,0.01,0.01,0.0,0.01,0.02,0.06,0.01,0.01,0.005055829
0.12,0.16,,0.01,0.0,0.0,0.02,0.29,0.03,0.0,0.04,0.04,0.23,0.03,0.08,0.032671034
,,,,,,,,,,,,,,,0.0
0.02,0.01,0.04,0.0,0.02,0.0,0.11,0.03,0.06,0.0,0.0,0.03,0.03,0.01,0.2,0.020708919
0.02,0.01,0.04,0.01,0.01,0.0,0.02,0.02,0.02,0.0,0.0,0.06,0.03,0.04,0.01,0.022529047000000003
0.39,0.01,0.21,0.3,0.26,0.29,0.15,0.01,0.16,0.35,0.0,0.0,0.29,0.27,0.0,0.10502405
0.4,0.12,0.07,0.53,,0.5,0.23,0.43,0.23,0.38,0.17,0.14,0.13,0.29,0.42,0.0
0.06,0.0,0.02,0.01,0.08,0.0,0.01,0.06,0.01,0.0,0.0,0.02,0.04,0.02,0.01,0.0133480495
0.22,0.34,0.1,0.17,,0.28,0.22,0.06,0.21,0.3,0.0,0.0,0.11,0.17,0.0,0.014139646
0.01,0.01,0.02,0.01,0.06,0.01,0.03,0.08,0.03,0.0,0.03,0.03,0.08,0.0,0.04,0.021544645
0.0,0.02,,0.04,0.03,0.1,0.14,0.05,0.03,0.02,0.0,0.0,0.08,0.01,0.0,0.091243364
,,,,,,,,,,,,,,,0.0
0.28,0.35,,0.19,,0.22,0.26,0.23,0.34,0.14,0.34,0.21,0.33,0.2,0.05,0.0065723937
0.03,0.01,0.03,0.02,0.07,0.16,0.05,0.13,0.06,0.0,0.02,0.01,0.04,0.01,0.05,0.009904486
0.0,0.02,0.03,0.0,0.02,0.0,0.02,0.08,0.01,0.0,0.01,0.0,0.06,0.02,0.0,0.030849518
0.13,0.2,0.11,0.24,0.3,0.23,0.21,0.13,0.23,0.25,0.17,0.17,0.16,0.22,0.51,0.0
,,,,,,,,,,,,,,,0.0
0.24,0.08,,0.09,,0.03,0.24,0.38,0.22,0.29,,,0.26,0.19,,0.0
0.05,0.01,0.01,0.0,0.08,0.0,0.09,0.04,0.0,0.0,0.02,0.02,0.04,0.0,0.06,0.031923693
0.04,0.01,0.03,0.01,0.11,0.0,0.02,0.08,0.04,0.0,0.0,0.0,0.04,0.01,0.04,0.019288756
0.16,0.21,0.02,0.05,,0.12,0.08,0.18,0.04,0.14,0.0,0.0,0.16,0.07,0.0,0.042338952
0.01,0.04,0.08,0.08,0.08,0.0,0.06,0.06,0.01,0.0,0.03,0.09,0.01,0.04,0.0,0.06977655
0.24,0.18,0.19,0.31,,0.28,0.62,0.4,0.33,0.23,0.22,0.15,0.32,0.3,0.31,0.0
0.3,0.12,,0.71,,0.28,0.75,0.41,0.75,0.63,,,0.45,0.51,0.39,0.0
0.01,0.0,0.03,0.02,0.03,0.0,0.08,0.03,0.01,0.0,0.01,0.04,0.05,0.01,0.05,0.016365198
0.01,0.03,0.03,0.03,0.01,0.0,0.08,0.08,0.01,0.0,0.03,0.02,0.09,0.01,0.21,0.027411748
0.08,0.05,0.2,0.06,0.15,0.04,0.01,0.08,0.08,0.13,0.0,0.0,0.02,0.01,0.0,0.029939817
,,,,,,,,,,,,,,,0.0
0.53,0.11,,0.46,,0.18,0.53,0.56,0.55,0.26,0.34,0.13,0.57,0.49,0.36,0.0
0.1,0.0,0.07,0.06,0.04,0.0,0.03,0.05,0.0,0.09,0.0,0.08,0.01,0.01,0.0,0.08036597
0.0,0.0,0.0,0.01,0.02,0.07,0.02,0.0,0.02,0.0,0.04,0.04,0.04,0.02,0.23,0.02025349
0.22,0.3,0.11,0.44,0.08,0.43,0.27,0.15,0.15,0.21,0.0,0.0,0.12,0.25,0.0,0.0876741
0.01,0.01,0.02,0.03,0.01,0.0,0.08,0.04,0.01,0.0,0.02,0.01,0.05,0.01,0.23,0.03033381
0.01,0.01,0.03,0.02,0.04,0.0,0.05,0.03,0.05,0.0,0.01,0.03,0.01,0.02,0.12,0.015197737
0.12,0.08,0.07,0.17,,0.11,0.14,0.14,0.19,0.19,0.17,0.18,0.14,0.13,0.13,0.0049496386
0.02,0.02,0.0,0.02,0.01,0.0,0.07,0.03,0.05,0.0,0.0,0.01,0.01,0.01,0.13,0.035619732
0.05,0.01,0.01,0.06,0.04,0.0,0.08,0.07,0.03,0.0,0.06,0.04,0.13,0.03,0.15,0.048806082
0.01,0.02,0.01,0.04,0.03,0.0,0.08,0.04,0.0,0.0,0.01,0.02,0.02,0.02,0.08,0.025986047
0.01,0.12,,0.0,0.02,0.0,0.01,0.07,0.02,0.0,0.01,0.03,0.03,0.01,0.09,0.026140098
0.08,0.0,0.02,0.06,0.11,0.0,0.35,0.09,0.01,0.0,0.0,0.0,0.01,0.04,0.06,0.0
0.01,0.02,0.01,0.0,0.03,0.0,0.09,0.0,0.01,0.0,0.02,0.02,0.04,0.03,0.09,0.0581278
,,,,,,,,,,,,,,,0.0
0.12,0.07,0.04,0.08,0.07,0.06,0.1,0.1,0.12,0.19,0.07,0.07,0.11,0.08,0.1,0.10388453
0.09,0.08,0.08,0.1,0.1,0.07,0.09,0.1,0.14,0.17,0.08,0.06,0.1,0.07,0.13,0.10183573
0.09,0.07,0.02,0.19,0.05,0.06,0.07,0.08,0.09,0.08,0.06,0.06,0.07,0.07,0.07,0.10510137
0.11,0.08,0.02,0.09,0.05,0.06,0.07,0.08,0.09,0.06,0.06,0.06,0.07,0.07,0.07,0.10400332
,,,,,,,,,,0.12893026,,,,,
0.02,0.09,0.02,0.09,0.06,0.06,0.08,0.08,0.09,0.02,0.07,0.1,0.07,0.07,0.1,0.10325727
0.08,0.1,0.02,0.14,0.1,0.21,0.09,0.11,0.15,0.17,0.09,0.11,0.12,0.08,0.18,0.10063431
0.03,0.07,0.01,0.08,0.08,0.07,0.08,0.11,0.12,0.07,0.08,0.09,0.11,0.08,0.12,0.10558416
0.04,0.01,0.12,,0.43,0.12,0.15,0.1,0.17,0.45,0.14,0.25,0.14,0.12,0.23,0.15928748
0.05,0.07,0.04,0.09,0.04,0.06,0.07,0.07,0.11,0.05,0.06,0.05,0.05,0.07,0.06,0.10430725
0.11,0.05,0.03,0.09,0.06,0.06,0.07,0.09,0.1,0.13,0.06,0.08,0.09,0.06,0.07,0.10597175
0.11,0.09,0.02,0.09,0.05,0.07,0.08,0.1,0.1,0.2,0.07,0.1,0.07,0.07,0.06,0.10349129
0.09,0.07,0.03,0.1,0.09,0.06,0.07,0.1,0.1,0.06,0.06,0.05,0.09,0.06,0.09,0.103939824
0.12,0.06,0.03,0.16,0.12,0.1,0.1,0.14,0.14,0.11,0.09,0.07,0.11,0.08,0.12,0.10150204
0.04,0.06,0.03,0.09,0.06,0.05,0.08,0.06,0.08,0.09,0.07,0.11,0.08,0.1,0.13,0.10292177
0.1,0.05,0.13,0.13,0.05,0.07,0.08,0.09,0.1,0.05,0.07,0.05,0.1,0.07,0.1,0.10412692
0.3,0.07,0.1,0.28,0.45,0.43,0.32,0.31,0.35,0.22,0.16,0.19,0.27,0.34,0.19,0.104782574
,,0.18,0.08,0.18,0.16,0.29,0.09,0.16,,0.32,0.29,0.55,0.27,0.22,
0.11,0.05,0.01,0.16,0.14,0.1,0.15,0.15,0.18,0.25,0.11,0.09,0.12,0.13,0.14,0.10052507
0.04,0.07,0.03,0.15,0.01,0.05,0.07,0.07,0.08,0.09,0.07,0.09,0.09,0.1,0.23,0.105564885
0.11,0.05,0.03,0.05,0.07,0.07,0.09,0.1,0.1,0.05,0.08,0.1,0.09,0.08,0.1,0.103061594
0.02,0.01,,0.0,,0.05,0.02,0.12,0.0,0.0,0.01,0.01,0.11,0.0,0.01,0.036320418
0.04,0.04,0.01,0.0,,0.06,0.03,0.01,0.01,0.0,0.03,0.0,0.08,0.01,0.02,0.0067922585
0.03,0.03,0.02,0.02,,0.04,0.0,0.0,0.03,0.13,0.0,0.03,0.05,0.03,0.02,0.033671223
0.02,0.01,0.04,0.01,,0.13,0.01,0.0,0.0,0.0,0.02,0.01,0.07,0.0,0.04,0.027409645
0.01,0.0,0.02,0.01,0.15,0.0,0.0,0.04,0.05,0.0,0.0,0.02,0.06,0.01,0.04,0.031445876
0.01,0.01,,0.0,0.01,0.07,0.03,0.09,0.01,0.0,0.02,0.03,0.04,0.0,0.03,0.013886283
0.59,0.37,,0.15,,0.04,0.47,,0.55,0.14,,,0.12,0.34,0.28,0.0
0.05,0.0,0.0,0.01,,0.01,0.05,0.02,0.01,0.0,0.0,0.0,0.09,0.0,0.2,0.007157266
0.04,0.05,0.03,0.0,0.0,0.11,0.05,0.05,0.02,0.0,0.04,0.02,0.14,0.03,0.03,0.08102539
,,,,,,,,,,,,,,,0.0
0.04,0.12,0.04,0.01,,0.04,0.03,,0.03,0.0,0.02,0.05,,0.01,0.01,0.013557147
0.0,0.06,0.01,0.0,,0.03,0.03,,0.01,0.0,0.04,0.0,0.07,0.01,0.0,0.021902539
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0493906
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.09,0.02,0.06,0.03,,0.11,0.15,,0.17,,0.0,0.0,0.09,0.04,,0.07736857
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.11,0.04,0.0,0.04,0.13,0.01,0.02,0.17,0.06,0.0,0.08,0.06,0.03,0.02,0.18,0.102894604
0.15,0.07,0.07,,,0.04,0.11,0.16,0.06,0.0,0.0,0.0,0.1,0.01,0.0,0.11187455
0.01,0.11,0.02,0.0,0.0,0.02,0.02,,0.06,0.0,0.0,0.0,,0.01,,0.026849087
,,,,,,,,,,,,,,,0.0
,0.1,0.06,0.08,0.17,0.02,0.15,0.1,0.15,0.0,0.0,0.0,0.06,0.01,0.0,0.035724007
0.01,0.05,0.0,0.05,,0.06,0.04,0.04,0.01,0.0,0.02,0.05,0.04,0.03,0.15,0.022865022
0.11,0.05,0.01,0.01,0.04,0.08,0.04,0.01,0.01,0.0,0.04,0.03,0.04,0.01,0.06,0.01571727
0.01,0.09,0.02,0.01,0.05,0.02,0.05,0.08,0.0,,0.06,0.01,0.0,0.02,0.02,0.003357723
,,,,,,,,,,,,,,,0.0
0.0,0.01,0.01,0.02,0.02,0.0,0.06,0.06,0.01,0.0,0.01,0.01,0.11,0.01,0.18,0.03984652
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.0,0.03,0.01,0.11,0.05,0.0,0.11,0.02,0.04,,0.04,0.07,0.06,0.04,0.12,0.058417752
0.03,0.01,0.0,0.01,,0.01,0.01,0.17,0.02,0.0,0.04,0.01,0.09,0.01,0.07,0.017367737
,,,,,,,,,,,,,,,0.0
0.12,0.03,0.01,0.12,,0.08,0.13,0.09,0.18,,0.0,0.0,0.01,0.06,0.0,7.5672105e-08
,,,,,,,,,,,,,,,0.0
0.09,0.3,,0.06,0.2,0.01,,0.11,,,0.0,0.0,,0.01,0.0,0.13897394
0.11,0.12,0.01,,0.08,0.11,,0.12,0.13,,0.0,0.0,0.04,0.0,0.0,0.056409143
0.0,0.04,0.11,0.02,,0.0,0.02,0.07,0.02,,0.02,0.0,0.11,0.0,0.04,0.025095815
0.01,0.05,0.01,0.02,,0.04,0.07,0.06,0.01,0.0,0.05,0.1,0.05,0.02,0.25,0.040798604
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,0.24,,,,,,0.04,0.1,,0.0,0.0,,0.19,0.0,0.1212402
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.007070753000000002
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.04,0.07,0.04,0.1,0.01,0.03,0.01,0.04,0.14,,0.0,0.0,0.04,0.05,0.0,0.04109797
0.01,0.02,0.04,0.0,0.01,0.04,0.05,0.01,0.0,0.0,0.06,0.05,0.01,0.02,0.06,0.041700136
,,,,,,,,,,,,,,,0.0
0.04,0.11,,0.18,0.15,0.01,0.1,0.13,0.03,,0.0,0.0,0.04,0.01,0.0,0.033910554
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.11187454
,,,,,,,,,,,,,,,0.0
0.11,0.1,0.05,0.12,0.14,0.18,0.11,0.14,0.2,0.16,0.09,0.1,0.1,0.1,0.13,0.06342354
0.06,0.01,0.01,0.0,,0.04,0.07,0.03,0.05,,0.03,0.02,0.1,0.01,0.1,0.01906496
,,0.13,,,0.07,,,0.02,,0.0,0.0,,,0.0,0.11869617
0.08,0.07,0.05,0.11,0.13,0.33,0.12,0.13,0.17,0.24,0.1,0.12,0.12,0.19,0.16,0.06660561
,,,,,,,,,,,,,,,0.0
0.02,0.0,0.0,0.01,0.03,0.03,0.04,0.06,0.02,0.0,0.02,0.02,0.04,0.01,0.11,0.01835419
0.07,0.08,0.09,0.13,0.19,0.23,0.17,0.22,0.29,0.25,0.12,0.11,0.15,0.24,0.2,0.06564781
,,,,,,,,,,,,,,,0.0
0.12,0.08,0.12,0.15,0.12,0.15,0.14,0.14,0.2,0.29,0.11,0.11,0.13,0.19,0.11,0.06699043
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.04,0.03,0.01,0.02,,0.01,0.01,0.06,0.0,0.0,0.02,0.02,0.03,0.02,0.07,0.0067923362
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.04,0.07,0.03,0.14,0.13,0.22,0.15,0.17,0.21,0.25,0.13,0.15,0.12,0.17,0.16,0.06634851
0.03,0.14,0.02,0.01,,0.0,0.04,,0.03,,0.02,0.02,0.17,0.03,0.04,0.01821008
,,0.04,,0.1,0.11,,0.17,0.18,,0.0,0.0,0.14,0.12,0.0,0.09124339
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.32,0.04,0.1,0.19,0.15,0.28,0.3,0.23,0.16,0.24,0.08,0.11,0.13,0.29,0.11,0.064106025
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.02,0.03,0.0,0.0,0.04,0.01,0.02,0.01,0.0,0.02,0.0,0.09,0.01,0.12,0.049218107
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.04,,0.01,,,0.1,,0.18,,,0.0,0.0,0.13,0.16,0.0,0.063412845
0.08,0.11,0.06,0.02,,0.1,0.01,,0.03,0.0,0.0,0.0,,0.1,0.0,0.022849372000000003
0.03,0.07,0.0,0.01,,0.01,0.02,0.02,0.01,0.0,0.01,0.01,0.09,0.0,0.06,0.008867671
0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.02,0.02,0.03,0.18,0.06,0.08,0.05,0.03,,0.07,0.01,0.18,0.02,0.0,0.0
0.0,0.03,0.05,0.0,,0.04,0.02,0.0,0.01,0.0,0.03,0.01,0.04,0.0,0.08,0.021843033
0.01,0.04,,0.07,,0.08,0.11,0.13,0.17,0.0,0.0,0.0,0.11,0.04,0.0,0.040246118
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.02,0.0,0.03,0.0,0.06,0.04,0.05,0.0,0.03,0.02,0.0,0.02,0.01,0.0029351346
0.01,0.22,0.0,,0.18,0.07,0.09,0.13,,,0.0,0.0,0.13,0.02,0.0,0.11752711
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.05,0.01,0.03,0.01,,0.01,0.05,0.06,0.03,0.0,0.04,0.0,0.08,0.01,0.0,0.019575587
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.1,0.03,0.06,0.04,0.01,0.0,0.06,0.11,0.0,0.0,0.03,0.05,0.07,0.02,0.06,0.006529784300000001
0.09,0.09,0.05,0.08,0.08,0.17,0.11,0.1,0.16,0.16,0.09,0.11,0.08,0.12,0.07,0.061418038
0.11,0.07,0.06,0.12,0.16,0.17,0.1,0.15,0.13,0.17,0.1,0.12,0.06,0.11,0.14,0.06292352
0.17,0.14,0.05,0.13,0.11,0.25,0.14,0.18,0.12,0.15,0.09,0.08,0.11,0.12,0.14,0.06393266
0.04,0.06,0.05,0.11,0.13,0.13,0.12,0.11,0.11,0.09,0.09,0.07,0.08,0.09,0.1,0.06366335599999999
0.08,0.16,0.05,0.11,0.22,0.19,0.19,0.12,0.27,0.12,0.12,0.1,0.1,0.17,0.09,0.067019366
0.06,0.08,0.05,0.11,0.1,0.14,0.1,0.13,0.11,0.12,0.09,0.11,0.09,0.1,0.1,0.062193807
0.06,0.09,0.04,0.08,0.15,0.15,0.12,0.11,0.12,0.1,0.1,0.08,0.07,0.14,0.11,0.06512625
0.05,0.1,0.1,0.12,0.14,0.23,0.12,0.09,0.17,0.16,0.1,0.11,0.09,0.15,0.12,0.0631972
0.09,0.1,0.04,0.08,0.15,0.28,0.11,0.13,0.13,0.14,0.09,0.08,0.08,0.14,0.12,0.06351040000000001
0.05,0.1,0.05,0.12,0.12,0.16,0.11,0.09,0.11,0.14,0.09,0.09,0.07,0.1,0.09,0.06411411
0.07,0.07,0.04,0.11,0.14,0.18,0.1,0.1,0.13,0.17,0.09,0.1,0.09,0.13,0.13,0.06337012
0.23,0.1,0.06,0.25,0.17,0.26,0.23,0.28,0.19,0.54,0.19,0.16,0.16,0.29,0.27,0.06540868
0.12,0.1,0.04,0.12,0.12,0.13,0.13,0.12,0.15,0.22,0.1,0.1,0.07,0.1,0.14,0.06691878
0.11,0.12,0.02,0.14,0.17,0.14,0.13,0.16,0.19,0.13,0.11,0.11,0.08,0.15,0.17,0.06381121
0.15,0.08,0.1,0.16,0.27,0.26,0.2,0.17,0.31,0.19,0.14,0.11,0.14,0.25,0.16,0.06704757
0.37,0.04,0.03,0.27,0.25,0.26,0.29,0.35,0.23,0.18,0.12,0.12,0.14,0.31,0.13,0.06428017
0.07,0.1,0.06,0.11,0.14,0.3,0.2,0.19,0.35,0.26,0.15,0.17,0.12,0.28,0.25,0.06776119
0.1,0.13,0.03,0.14,0.13,0.23,0.16,0.14,0.17,0.38,0.11,0.12,0.09,0.19,0.17,0.06836431
0.5,0.08,0.03,0.28,0.28,0.24,0.26,0.37,0.21,0.21,0.12,0.16,0.14,0.34,0.23,0.12631649
0.29,0.1,0.04,0.12,0.05,0.17,0.21,0.15,0.24,0.48,0.14,0.14,0.16,0.2,0.2,0.06823622
0.51,0.09,0.05,0.18,0.06,0.32,0.23,0.12,0.28,0.24,0.15,0.16,0.06,0.29,0.25,0.06790123
0.42,0.8,0.44,0.51,0.26,0.41,0.57,0.39,0.51,0.4,0.47,0.71,0.44,0.83,0.63,0.13270454
0.1,0.13,0.02,0.13,0.06,0.15,0.22,0.16,0.26,0.17,0.13,0.13,0.12,0.27,0.14,0.12783697
0.09,0.13,0.07,0.1,0.14,0.19,0.14,0.14,0.19,0.16,0.12,0.11,0.06,0.18,0.12,0.0652502
0.07,0.16,0.05,0.11,0.15,0.47,0.2,0.17,0.22,0.52,0.14,0.14,0.12,0.25,0.18,0.06479358
0.24,0.26,0.3,0.45,0.75,0.45,0.42,0.51,0.48,0.01,0.34,0.33,0.42,0.53,0.05,0.13715167
0.05,0.08,0.09,0.12,0.15,0.17,0.15,0.18,0.18,0.23,0.14,0.14,0.12,0.22,0.11,0.06853509
0.0,0.0,0.07,0.0,0.14,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.04235906
0.0,0.01,0.08,0.02,,0.04,0.05,0.15,0.02,0.0,0.02,0.01,0.11,0.02,0.05,0.03896086
0.03,0.07,0.05,0.05,0.07,0.08,0.08,0.08,0.09,0.07,0.06,0.07,0.06,0.08,0.08,0.06463051
0.0,0.01,0.01,0.01,0.05,0.0,0.02,0.04,0.02,0.0,0.01,0.02,0.05,0.02,0.01,0.024858024
