E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.11,0.09,0.03,0.12,0.16,0.11,0.11,0.13,0.11,0.06,0.08,0.1,0.1,0.11,0.1,0.06496107
0.07,0.05,0.04,0.1,0.04,0.14,0.09,0.08,0.09,0.12,0.06,0.06,0.06,0.08,0.09,0.07872594
0.1,0.06,0.04,0.11,0.17,0.1,0.12,0.12,0.11,0.06,0.08,0.09,0.11,0.11,0.1,0.06528139
0.08,0.1,0.04,0.07,,0.09,0.11,0.19,0.1,0.1,0.07,0.08,0.09,0.09,0.1,0.064497195
0.13,0.06,0.03,0.14,,0.1,0.12,0.16,0.12,0.05,0.08,0.09,0.1,0.1,0.09,0.06563473
0.04,0.06,0.04,0.08,0.05,0.11,0.1,0.09,0.08,0.12,0.06,0.08,0.06,0.09,0.09,0.07754877
0.14,0.07,0.04,0.11,,0.13,0.11,0.13,0.11,0.09,0.07,0.09,0.1,0.09,0.1,0.064061016
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.23,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.16,0.0
0.01,0.12,0.02,0.02,0.06,0.0,0.12,0.01,0.1,0.26,0.01,0.17,0.01,0.0,0.0,0.014769114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03,0.02,0.01,0.02,0.0,0.02,0.06,0.01,0.0,0.01,0.03,0.06,0.02,0.03,0.023967652
0.24,0.39,,0.16,,0.18,0.38,,0.17,,,,0.21,0.5,,0.0
,,,,,,,,,,0.82,0.31,,,,0.0
0.02,0.09,0.03,0.01,0.07,0.04,0.06,0.14,0.02,0.0,0.03,0.02,0.06,0.02,0.01,0.012389072
0.04,0.04,0.01,0.01,0.03,0.0,0.07,0.05,0.0,0.0,0.0,0.06,0.01,0.02,0.01,0.01982877
